,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,7days_views,EUR Price,Country,City,Pricing Category,Boat Class,Total_views
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,3490.0,Germany , BÃ¶nningstedt,Low-priced,Class A,203469
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,3399.0,Germany , Bayern ,Low-priced,Class A,203469
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,3570.0,Switzerland , Seengen,Low-priced,Class A,316879
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,3500.0,Italy , Lake Garda ,Low-priced,Class A,116749
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,4692.0,Switzerland , Zugersee ,Low-priced,Class A,316879
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,4590.0,Switzerland , VierwaldstÃ¤ttersee ,Low-priced,Class A,316879
18,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,265,4000.0,France ," MARTGUES, MARTIGUES",Low-priced,Class II,79308
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,3999.0,Germany , Bayern ,Low-priced,Class A,203469
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,3930.0,Germany , Nordrhein-Westfalen ,Low-priced,Class A,203469
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,3900.0,Germany ," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",Low-priced,Class I,203469
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,4284.0,Switzerland , Diessenhofen,Low-priced,Class I,316879
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,4110.6,Switzerland , VierwaldstÃ¤ttersee ,Low-priced,Class A,316879
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,4054.5,Switzerland , Horgen,Low-priced,Class A,316879
30,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,4029.0,Switzerland , Lake of Zurich ,Low-priced,Class A,316879
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,3876.0,Switzerland , Luganersee ,Low-priced,Class A,316879
