Rank;Boat Type;Manufacturer;Type;Fuel;Year Built;Length;Width;Material;Number of views last 7 days;EUR Price;Country;City;Pricing Category;Boat Class
1;Motor Yacht;Bayliner power boats;Used boat;Unleaded;1992;7,7;2,46;Plastic;3263;15 198,00;Switzerland ; Le Landeron (NE);Low-priced;Class I
2;Hardtop;Princess power boats;Used boat;Diesel;1979;11,12;3,88;GRP;2432;35 700,00;Switzerland ; Neuenburgersee ;Low-priced;Class II
3;Bowrider,Motor Yacht,Sport Boat;Windy power boats;Used boat;Diesel;2002;12,35;3,48;GRP;2261;128 418,00;Switzerland ; Lago Maggiore ;High-Priced;Class III
4;Sport Boat;Sea Ray power boats;Used boat;Unleaded;1993;6,14;2,34;Plastic;2026;20 298,00;Switzerland ; Murtensee ;Low-priced;Class I
5;Cabin Boat;Viper power boats;Used boat;Unleaded;2014;6,65;2,3;GRP;1970;49 470,00;Switzerland ; Horn ;Low-priced;Class I
6;Sport Boat,Wakeboard/Wakesurf,Water ski;Tullio Abbate power boats;Used boat;Unleaded;1980;6;2,1;GRP;1917;5 098,98;Switzerland ; Lake of Zurich ;Low-priced;Class I
7;Sport Boat;Correct Craft power boats;Used boat;Unleaded;2005;6,4;2,31;GRP;1834;36 720,00;Switzerland ; Lago Maggiore ;Low-priced;Class I
8;Cabin Boat;Draco power boats;Used boat;Unleaded;1980;6,2;2,45;GRP;1804;3 876,00;Switzerland ; Walensee ;Low-priced;Class I
9;Hardtop,Motor Yacht;Beneteau;Used boat;Diesel;2016;13,15;3,96;GRP;1780;357 000,00;Switzerland ; Lake Geneva ;High-Priced;Class III
10;Sport Boat;Bavaria power boats;new boat from stock;Unleaded;2020;9,31;2,99;GRP;1710;159 359,00;Switzerland ; Lake Constance ;High-Priced;Class II
